case_id,sex,age_band,name_origin,province,region,urbanicity,NAME_PATIENT,NAME_DOCTOR,NAME_DOCTOR_2,NAME_RELATIVE,RELATIVE_RELATION,AGE,GENDER,DATE_ENCOUNTER,DATE_VALIDATION,DATE_HISTORY,DOB,INSZ,RIZIV,IBAN,CREDITCARDNUMBER,STREET,ZIPCODE,CITY,TELEFOON,TELEFOON_MOBILE,EMAIL,URL,ORGANIZATION,SPECIALTY,DIAGNOSIS,DX_EPONYM,DX_TEST,DX_ANATOMY,DX_DRUG,DX_DRUG_2,DX_HOMOGRAPH,DX_NUMERIC,DX_ABBREV,DX_CODESWITCH,noise_ops,ambiguous_surname,PATIENT_NOUN_GENERIC,PATIENT_NOUN_MARKED,HONORIFIC,PRONOUN_SUBJ,PRONOUN_POSS,fmt
CASE000425,F,65-79,maghrebi,Limburg,Vlaanderen,rural,Amina Beers,dr. Piotr Dimitrov,dr. Stijn Dubois,Meryem Ouazzani,Grootmoeder,67-jarige,vrouw,28/04/2026,28/4/2026,11/09/2025,°03/03/1959,59.03.03-446.45,49813458030,BE85 0502 8801 6738,4414430106144521,Groenepark 154 bus 2,3700,Tongeren,016/68.59.31,0498 90 17 50,amina.beers@gmail.com,https://www.kliniekheilighart.be,Kliniek Heilig Hart,Orthopedie,carpaal tunnelsyndroom,syndroom van Raynaud,teken van Tinel,lig. Collaterale mediale,Nexiam 20 mg,Metformine viatris 500 mg,boomstructuur van de bronchi,12u,SSp,no evidence of malignancy,,True,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'd/m/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000426,M,65-79,central_african,West-Vlaanderen,Vlaanderen,urban,Joseph Nkosi,dr. Rosa Moreira,dr. An Maes,Chantal Mukendi,Moeder,66-jarige,man,10 mei 2026,11 mei 2026,31 januari 2019,°30-06-1959,59 06 30 729 40,6-69101-05-018,BE16 6090 8530 2148,4223954807047312,Weversteenweg 48,8000,Brugge,057/94.37.63,0488-36 74 05,joseph.nkosi@proximus.be,https://www.ziekenhuisdamiaan.be,Ziekenhuis Damiaan,Oftalmologie,geen diabetische retinopathie,syndroom van Cushing,Glasgow Coma Scale 15,M. Supraspinatus,Sipralexa 20 mg,Diltiazemzalf 2%,lintvormige stoelgang,BD: 146/68,tvv,full range of motion,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'text_nl', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000427,F,50-64,flemish,West-Vlaanderen,Vlaanderen,town,Nele Lambert,dr. Pieter Van den Berghe,dr. Tomasz Kaminski,Bart Declercq,Vader,50 jaar,vrouw,20/05/2026,20 mei 2026,28 apr 2019,°17-02-1976,76.02.17-516.02,53551324006,BE31 6119 5021 0361,4435849811846515,Wilgendries 69,8400,Oostende,055 92 06 66,0478 69 45 29,nele.lambert@skynet.be,https://www.uzrivierenland.be,UZ Rivierenland,Gynaecologie,myomateuze uterus,syndroom van Raynaud,Jaeger transfertest,m. Infraspinatus,Asaflow 80 mg,Sipralexa 20 mg,boomstructuur van de bronchi,25 000 ie,z.n.,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000428,M,65-79,flemish,Antwerpen,Vlaanderen,rural,Geert Verhoeven,dr. Veerle Coppens,dr. Inge Coppens,Katrien Van Acker,Zus,65-jarige,man,27-04-2026,29-04-2026,23-04-2017,°15/06/1960,60.06.15-199.71,8-22833-18-030,BE38 6328 0525 0975,4723399076150014,Gaverplein 251 bus 6,2860,Sint-Katelijne-Waver,051/17.49.19,0498710370,geert.verhoeven@telenet.be,https://www.znamiddelheim.be,ZNA Middelheim,Oftalmologie,cataract incipiens bilateraal,ziekte van Crohn,Goldmann applanatie,m. Infraspinatus,Ozempic 1 mg,Nexiam 20 mg,beers-teken afwezig,1/d,OD,SSp testen positief,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'plain', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000429,F,18-34,flemish,Vlaams-Brabant,Vlaanderen,town,Marleen Van Acker,dr. Rik Van den Berghe,dr. Marleen De Clercq,Hilde Declercq,Moeder,26-jarige,vrouw,23-05-2026,24/05/2026,09/09/2015,°15/03/2000,00.03.15-028.57,4 99948 87 480,BE53 4190 6981 9661,4793277011549174,Kouterbaan 199/12,1800,Vilvoorde,03-058 69 97,0478 46 79 60,marleen.vanacker@gmail.com,https://www.algemeenziekenhuisvesalius.be,Algemeen Ziekenhuis Vesalius,Dermatologie,psoriasis vulgaris,syndroom van Sjogren,Bristol-schaal type 4,M. Subscapularis,Depakine chrono 500 mg,Asaflow 80 mg,as 165 graden,300 ie/ml 1.5 ml,OS,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'slash', 'AGE': 'jarige'}"
CASE000430,M,65-79,maghrebi,West-Vlaanderen,Vlaanderen,urban,Youssef De Boom,dr. Sofie Lambert,dr. Hilde Claes,Anas El Habti,Broer,78-jarige,man,27-04-2026,27.04.2026,20 nov 2023,°9 sep 1947,47 09 09 505 81,7-89808-63-030,BE36 8842 6943 1127,4290848965394508,Marktberg 136,8500,Kortrijk,053534745,0496 81 16 32,youssef.deboom@skynet.be,https://www.uzmariamiddelares.be,UZ Maria Middelares,Oftalmologie,droge maculadegeneratie,syndroom van Guillain-Barre,teken van Tinel,m. Deltoideus,Diltiazemzalf 2%,Atorstatine 20 mg,lintvormige stoelgang,300 ie/ml 1.5 ml,RYGB,SSp testen positief,,True,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd.mm.yyyy', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000431,F,18-34,southern_european,Antwerpen,Vlaanderen,town,Rosa Esposito,dr. Hilde Verhoeven,dr. An Van Damme,Marco Silva,Broer,29-jarige,vrouw,06.05.2026,06-05-2026,14/09/2017,°11-08-1996,96.08.11-724.48,3-70079-73-003,BE08 1130 1874 0393,4094101027607816,Molenweg 209,2500,Lier,09-466 03 32,0476 73 79 60,rosa.esposito@proximus.be,https://www.uzsintjozef.be,UZ Sint-Jozef,Gastro-enterologie,refluxoesofagitis graad B,ziekte van Crohn,Phalen-test,m. Deltoideus,Ventolin aerosol,Metformine viatris 500 mg,lintvormige stoelgang,100 e/ml 3 ml,nle,blurr-test,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd.mm.yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000432,M,80-95,flemish,Vlaams-Brabant,Vlaanderen,rural,Kris De Clercq,dr. Ana Fernandez,dr. Wouter Peeters,Bart Vermeulen,Zoon,80-jarige,man,17 mei 2026,18 mei 2026,03.07.2025,°03-02-1946,46020334362,5-53732-41-480,BE12528540662162,4651064070783840,Hogedreef 82,3200,Aarschot,04 133 76 87,0496/64.99.01,kris.declercq@gmail.com,https://www.algemeenziekenhuismariamiddelares.be,Algemeen Ziekenhuis Maria Middelares,Gastro-enterologie,ulcus anastomoticum,teken van Lasegue,Schirmer-test,V. Saphena magna,Lambipol 100 mg,Asaflow 80 mg,boomstructuur van de bronchi,22u,co,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd.mm.yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000433,F,50-64,southern_european,Limburg,Vlaanderen,town,Maria Silva,dr. Khadija El Fassi,dr. Kris Jacobs,Carmela Garcia,Grootmoeder,56 jaar,vrouw,13 mei 2026,15 mei 2026,21/11/2024,°25-12-1969,69.12.25 640 46,6-26988-20-008,BE59 2875 4018 0630,4633092356540306,Bloemlaan 162,3600,Genk,04 269 90 15,0456830416,maria.silva@gmail.com,https://www.algemeenziekenhuisonzelievevrouw.be,Algemeen Ziekenhuis Onze-Lieve-Vrouw,Oftalmologie,droge maculadegeneratie,manoeuvre van Valsalva,Bristol-schaal type 4,m. Infraspinatus,Progor retard 180 mg,Metformine viatris 500 mg,beeld passend bij bursitis,8u,tvv,blurr-test,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'mixed', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_abbr', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000434,M,0-17,southern_european,Oost-Vlaanderen,Vlaanderen,town,Rafael Costa,dr. Agnieszka Kowalski,dr. Luc De Backer,Elena Costa,Moeder,4,man,25-05-2026,26-05-2026,04/12/2019,º12 jul 2021,21.07.12 991 41,1-58631-61-018,BE49581097572036,4295185255768819,Zonnedries 112,9700,Oudenaarde,04 538 15 18,0474/86.24.97,rafael.costa@proximus.be,https://www.azgroeninge.be,AZ Groeninge,Urologie,epididymitis links,ziekte van Graves,Barthel-index 90,M. Biceps caput longum,L-thyroxine 50 mcg,Atorstatine 20 mg,beers-teken afwezig,3x/week,ivm,watchful waiting,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'mixed', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000435,F,65-79,central_african,Oost-Vlaanderen,Vlaanderen,town,Josiane Tshibangu,dr. Hilde Coppens,dr. Fatima El Fassi,Mireille Mukendi,Nicht,70-jarige,vrouw,10/05/2026,2026-05-10,23/02/2023,°01-02-1956,56 02 01 956 10,9-91996-23-030,BE21 3795 0808 5736,4937979007045599,Marktkaai 189,9100,Sint-Niklaas,09/777.45.92,0496/15.16.27,josiane.tshibangu@proximus.be,https://www.azmariamiddelares.be,AZ Maria Middelares,Reumatologie,osteoporose,teken van Lasegue,Schirmer-test,A. Radialis,Pantomed 40 mg,Metformine viatris 500 mg,geel verkleurde sclerae,3x,ivm,blurr-test,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000436,M,50-64,flemish,Antwerpen,Vlaanderen,urban,Wim Coppens,dr. Bart De Clercq,dr. An Van den Berghe,Lieve Van Damme,Zus,62 jaar,man,15/04/2026,16/04/2026,14-04-2021,°1963-10-06,63.10.06-837.85,4 85685 91 004,BE45690173029843,4895049108604312,Bergpad 53 bus 14,2018,Antwerpen,04 562 16 83,0499-84 61 89,wim.coppens@gmail.com,https://www.azsintblasius.be,AZ Sint-Blasius,Fysische Geneeskunde en revalidatie,supraspinatuspeestendinose bilateraal,ziekte van Crohn,teken van Tinel,N. Medianus,Paracetamol 1 g,Injectafer 1000 mg,beers-teken afwezig,HR: 68,NSAID,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'spaced', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'bus', 'AGE': 'jaar'}"
CASE000437,F,50-64,flemish,Oost-Vlaanderen,Vlaanderen,rural,Nele Van Acker,dr. Youssef Alaoui,dr. Adil Bennani,Inge Declercq,Grootmoeder,59 jaar,vrouw,23/5/2026,23/5/2026,17 september 2021,°24 nov 1966,66.11.24-612.34,1-82081-85-004,BE22 4041 9089 7681,4384478167663422,Beekplein 23,9400,Ninove,057902038,0487-66 21 83,nele.vanacker@telenet.be,https://www.algemeenziekenhuissintrembert.be,Algemeen Ziekenhuis Sint-Rembert,Gastro-enterologie,lichte chronische niet specifieke colitis,teken van Lasegue,Goldmann applanatie,m. Deltoideus,Ventolin aerosol,D-cure 25 000 ie,peervormige galblaas,BD: 146/68,NSAID,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'd/m/yyyy', 'DATE_VALIDATION': 'd/m/yyyy', 'DATE_HISTORY': 'text_nl', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000438,M,50-64,flemish,Limburg,Vlaanderen,rural,Stijn Wouters,dr. Bart Van Damme,dr. Tine Goossens,Veerle Verhoeven,Nicht,57 jaar,man,15/04/2026,2026-04-17,30/7/2019,°12/11/1968,68.11.12 625 35,6-93995-40-006,BE68426537926991,4649666811822920,Hoevesteenweg 157,3630,Maasmechelen,09-642 39 40,0493 48 74 97,stijn.wouters@skynet.be,https://www.ziekenhuissintblasius.be,Ziekenhuis Sint-Blasius,Gastro-enterologie,refluxoesofagitis graad B,ziekte van Hashimoto,Bristol-schaal type 4,M. Subscapularis,Metformine viatris 500 mg,Sipralexa 20 mg,beers-teken afwezig,100 e/ml 3 ml,PPI,blurr-test,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'mixed', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'd/m/yyyy', 'DOB': 'degree', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000439,F,35-49,flemish,Oost-Vlaanderen,Vlaanderen,rural,Marleen Boom,dr. Bilal El Fassi,dr. Veerle Van Damme,Marleen Dubois,Moeder,38-jarige,vrouw,21-04-2026,22 april 2026,22/01/2018,°1987-06-11,87061166895,9-59251-79-018,BE89884014541527,4442004218674711,Kouterring 198,9400,Ninove,050 49 43 63,0471 47 52 13,marleen.boom@proximus.be,https://www.ziekenhuisvesalius.be,Ziekenhuis Vesalius,Algemene Heelkunde,ziekte van Von Willebrand,ziekte van Parkinson,Snellen 1,M. Supraspinatus,Ozempic 1 mg,D-cure 25 000 ie,geel verkleurde sclerae,4.95*,co,SSp testen positief,,True,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000440,M,65-79,flemish,Antwerpen,Vlaanderen,urban,Tom De Backer,dr. Stijn Claes,dr. Angelo Garcia,Bart Van Damme,Broer,77-jarige,man,14-04-2026,16-04-2026,15 maa 2025,°7 december 1948,48.12.07-099.07,1-01639-17-030,BE73 8202 6017 0786,4830407751306106,Oudepark 23B,2000,Antwerpen,09 599 05 27,0475/44.78.79,tom.debacker@skynet.be,https://www.uzsintrembert.be,UZ Sint-Rembert,NKO,chronische rhinosinusitis,ziekte van Parkinson,Humphrey - perimetrie,A. Radialis,Diltiazemzalf 2%,Cose protect,lintvormige stoelgang,BD: 146/68,OS,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'letter', 'AGE': 'jarige'}"
CASE000441,F,65-79,flemish,Vlaams-Brabant,Vlaanderen,urban,Lieve Tinel,dr. Pieter De Smet,dr. Bart Vermeulen,Geert Janssens,Zoon,66 jaar,vrouw,14-05-2026,14/05/2026,25/04/2021,°29.10.1959,59.10.29-992.29,4-73086-80-018,BE86 0236 6609 6769,4571121816793231,Weverweg 129,3000,Leuven,+32 (0)11/27.51.00,0484/95.87.55,lieve.tinel@proximus.be,https://www.azturnhout.be,AZ Turnhout,Fysische Geneeskunde en revalidatie,laterale epicondylitis rechts,ziekte van Dupuytren,Goldmann applanatie,M. Supraspinatus,L-thyroxine 50 mcg,Asaflow 80 mg,molaire zwangerschap uitgesloten,22u,co,SSp testen positief,,True,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'intl_paren', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000442,M,65-79,southern_european,Limburg,Vlaanderen,town,Angelo Fernandez,dr. Wim Jacobs,dr. Mohamed Ouazzani,Ana Garcia,Tante,66-jarige,man,07/05/2026,09/05/2026,16-02-2018,º1959-11-12,59111214733,8-55755-76-003,BE60 0743 2263 5963,4437702170470120,Oudevest 157/4,3800,Sint-Truiden,09 330 57 54,+32 496 06 00 73,angelo.fernandez@proximus.be,https://www.azgroeninge.be,AZ Groeninge,Orthopedie,carpaal tunnelsyndroom,syndroom van Cushing,Barthel-index 90,M. Subscapularis,Diltiazemzalf 2%,Paracetamol 1 g,boomstructuur van de bronchi,12u,nle,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'intl', 'STREET': 'slash', 'AGE': 'jarige'}"
CASE000443,F,65-79,flemish,Antwerpen,Vlaanderen,urban,Femke De Clercq,dr. Griet Van Damme,dr. Ionut Kowalski,Marc Lambert,Vader,73,vrouw,21 april 2026,2026-04-21,26/01/2017,°18/9/1952,52091825470,8-52326-13-004,BE17 6463 4158 0013,4785622719260261,Beekberg 148,2000,Antwerpen,053 25 93 57,0488484700,femke.declercq@telenet.be,https://www.algemeenziekenhuissintrembert.be,Algemeen Ziekenhuis Sint-Rembert,Neurologie,perifere polyneuropathie,ziekte van Crohn,Glasgow Coma Scale 15,A. Radialis,Ventolin aerosol,Asaflow 80 mg,geel verkleurde sclerae,1/d,PTO,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_nl', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000444,M,50-64,flemish,Brussel-Hoofdstad,Brussel,urban,Luc Janssens,dr. Wim Van Damme,dr. Adil El Amrani,Femke De Clercq,Nicht,51 jaar,man,27/04/2026,27-04-2026,28/10/2024,°1974-08-22,74.08.22-715.41,5-04432-65-006,BE55 1121 0103 7485,4925007516748679,Abdijhof 206 bus 17,1000,Brussel,089/22.05.13,+32 477 93 72 94,luc.janssens@skynet.be,https://www.algemeenziekenhuismariamiddelares.be,Algemeen Ziekenhuis Maria Middelares,Nefrologie,chronische nierinsufficientie stadium 3,ziekte van Graves,Glasgow Coma Scale 15,m. Infraspinatus,Diltiazemzalf 2%,Lyumjev kwikpen,geel verkleurde sclerae,100 e/ml 3 ml,nle,SSp testen positief,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'd/m/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl', 'STREET': 'bus', 'AGE': 'jaar'}"
CASE000445,F,80-95,flemish,Vlaams-Brabant,Vlaanderen,urban,Inge Van Acker,dr. Ana Romano,dr. Nele Van Acker,Dirk Willems,Oom,89-jarige,vrouw,19-05-2026,19 mei 2026,21.05.2016,°13/08/1936,36.08.13-064.67,8-30887-15-030,BE81 2830 0423 7522,4552620294874788,Bakkerdreef 77,3000,Leuven,023878305,+32 489 16 65 94,inge.vanacker@telenet.be,https://www.azklina.be,AZ Klina,Neurologie,migraine met aura,ziekte van Crohn,Jaeger transfertest,V. Saphena magna,Toujeo solostar,Sipralexa 20 mg,boomstructuur van de bronchi,BD: 146/68,i.o.m.,Painful arc beiderzijds +,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd.mm.yyyy', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'intl', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000446,M,50-64,central_african,Oost-Vlaanderen,Vlaanderen,rural,Joseph Kalala,dr. An Goossens,dr. Femke Lambert,Grace Tshibangu,Nicht,52-jarige,man,28/04/2026,30 apr 2026,16/05/2018,°01-04-1974,74.04.01-577.05,18270939480,BE54 2246 2960 5319,4629433916867084,Oudeweg 155,9600,Ronse,+32 3 720 94 80,+32 (0)476/48.75.89,joseph.kalala@proximus.be,https://www.klinieknikolaas.be,Kliniek Nikolaas,Pneumologie,obstructief slaapapneusyndroom,ziekte van Graves,Snellen 1,A. Radialis,Cose protect,Metformine viatris 500 mg,boomstructuur van de bronchi,4.95*,ODS,SSp testen positief,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000447,F,18-34,flemish,Oost-Vlaanderen,Vlaanderen,urban,Lore Claes,dr. Dirk Peeters,dr. Rik De Backer,Koen Van Acker,Grootvader,20-jarige,vrouw,15/05/2026,15-05-2026,09/04/2017,°20 maa 2006,06.03.20-460.86,4-36550-47-007,BE98337278066768,4692239407173433,Oudedreef 46,9000,Gent,015/62.45.54,+32 (0)475/00.22.15,lore.claes@proximus.be,https://www.algemeenziekenhuissintrembert.be,Algemeen Ziekenhuis Sint-Rembert,Gastro-enterologie,coeliakie,ziekte van Bechterew,Phalen-test,M. Biceps caput longum,Trianal suppo,Ozempic 1 mg,hamstringletsel links,100 e/ml 3 ml,PRP,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000448,M,50-64,turkish,Oost-Vlaanderen,Vlaanderen,town,Emre Mol,dr. Wouter Mertens,dr. Bart Peeters,Esra Demir,Zus,62-jarige,man,07-05-2026,8 mei 2026,17/01/2025,°25 aug 1963,63.08.25-447.85,36538712004,BE90 8054 2998 3943,4524922191142995,Abdijpad 63,9200,Dendermonde,012565817,0473/85.47.93,emre.mol@proximus.be,https://www.azzeepreventorium.be,AZ Zeepreventorium,Nefrologie,chronische nierinsufficientie stadium 3,teken van Lasegue,Humphrey - perimetrie,m. Deltoideus,Glucagen hypokit,Nexiam 20 mg,beeld passend bij bursitis,1/w,APO,shared decision making,,True,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
